year,selling_price,km_driven,fuel,seller_type,transmission,owner,brands,models
2018,320000.0,30000.0,Petrol,Individual,Manual,Second Owner,Mahindra,Other
2010,130000.0,70000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2006,57000.0,80000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2005,75000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2003,60000.0,35000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2008,125000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
2004,105000.0,100000.0,Petrol,Individual,Manual,Third Owner,Honda,Other
2008,125000.0,152000.0,LPG,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
1998,69000.0,70000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2012,130000.0,90000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2019,630000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2016,330000.0,50000.0,Petrol,Individual,Manual,Second Owner,Honda,Other
2014,340000.0,15000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2006,60000.0,120000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Santro Xing
2014,550000.0,78322.0,Diesel,Individual,Manual,First Owner,Tata,Other
2014,480000.0,110000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2013,315000.0,80000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna 1.6
2012,165000.0,120000.0,Diesel,Individual,Manual,First Owner,Ford,Other
2016,170000.0,125000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2018,550000.0,8000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2018,465000.0,13000.0,Petrol,Individual,Manual,First Owner,Volkswagen,Other
2012,120000.0,80000.0,Diesel,Individual,Manual,Third Owner,Tata,Tata Indica Vista
2008,220000.0,54309.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
2011,180000.0,70000.0,Diesel,Individual,Manual,Second Owner,Ford,Ford Figo Diesel
2006,150000.0,34600.0,Petrol,Individual,Manual,Third Owner,Chevrolet,Other
2016,520000.0,25000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2013,430000.0,80000.0,Diesel,Individual,Manual,Third Owner,Tata,Other
2009,300000.0,55000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2020,1000000.0,5000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2017,725000.0,30000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2011,500000.0,31000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2011,250000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2018,700000.0,38217.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2011,185000.0,50000.0,Petrol,Individual,Manual,Third Owner,Ford,Other
2011,200000.0,120000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2004,315000.0,110000.0,Diesel,Individual,Manual,Third Owner,Mahindra,Other
2019,1700000.0,10000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2016,370000.0,60000.0,Petrol,Individual,Manual,First Owner,Mahindra,Other
2011,250000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2019,500000.0,15000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2008,400000.0,35000.0,Petrol,Individual,Manual,Second Owner,Toyota,Other
2014,200000.0,100000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2016,284000.0,40000.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2007,80000.0,60000.0,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Wagon R
2014,170000.0,77000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2011,150000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2010,110000.0,77073.0,Petrol,Individual,Manual,Second Owner,Tata,Other
2016,400000.0,70000.0,Diesel,Individual,Manual,First Owner,Ford,Other
2013,275000.0,90000.0,LPG,Individual,Manual,Second Owner,Hyundai,Other
2013,800000.0,186000.0,Diesel,Individual,Manual,Third Owner,Toyota,Toyota Innova 2.5
2014,550000.0,90000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2007,125000.0,100000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
2010,135000.0,80000.0,Petrol,Individual,Manual,Second Owner,Chevrolet,Other
2012,349000.0,150000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2014,458000.0,80000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
2018,300000.0,35000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto K10
2008,95000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
2018,850000.0,50000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2019,750000.0,25000.0,Diesel,Individual,Manual,First Owner,Ford,Other
2013,190000.0,120000.0,Diesel,Individual,Manual,First Owner,Ford,Ford Figo Diesel
2009,150000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2009,114999.0,106000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2010,320000.0,120000.0,Petrol,Individual,Manual,Third Owner,Toyota,Other
2019,300000.0,120000.0,CNG,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2016,275000.0,160000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2010,140000.0,120000.0,Petrol,Individual,Manual,Second Owner,Chevrolet,Other
2020,830000.0,10000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2013,380000.0,50000.0,Petrol,Individual,Manual,First Owner,Volkswagen,Other
2010,150000.0,90000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2008,50000.0,70000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2008,155000.0,100000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2010,300000.0,80000.0,Petrol,Individual,Manual,First Owner,Skoda,Other
2018,300000.0,16584.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto 800
2016,385000.0,38000.0,Diesel,Dealer,Manual,First Owner,Tata,Other
2010,221000.0,51000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Wagon R
2016,381000.0,38000.0,Diesel,Dealer,Manual,First Owner,Tata,Other
2015,250999.0,35000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto 800
2002,60000.0,120000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2016,380000.0,38000.0,Diesel,Dealer,Manual,First Owner,Tata,Other
2008,180000.0,144000.0,Diesel,Individual,Manual,Third Owner,Skoda,Other
2017,751000.0,64000.0,Diesel,Dealer,Manual,First Owner,Maruti,Other
2015,1250000.0,60000.0,Diesel,Dealer,Automatic,First Owner,Mahindra,Other
2014,229999.0,65000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2019,1250000.0,24000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2014,782000.0,58000.0,Diesel,Dealer,Manual,Second Owner,Mahindra,Other
2014,780000.0,58000.0,Diesel,Dealer,Manual,Second Owner,Mahindra,Other
2016,245000.0,68000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto 800
2011,321000.0,81257.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2017,509999.0,44000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Hyundai Grand i10
2015,110000.0,45000.0,Petrol,Dealer,Manual,First Owner,Tata,Other
2013,400000.0,75000.0,Diesel,Dealer,Manual,First Owner,Volkswagen,Other
2013,370000.0,90000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2007,175000.0,80000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Other
1998,1000000.0,35000.0,Petrol,Individual,Automatic,Second Owner,Mercedes-Benz,Other
2013,92800.0,25000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto 800
2014,291000.0,90000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2013,335000.0,110000.0,Diesel,Individual,Manual,Third Owner,Hyundai,Hyundai Verna 1.6
2013,170000.0,35000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2019,295000.0,10000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2019,375000.0,10000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2012,215000.0,70000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai EON Era
2009,150000.0,110000.0,Diesel,Individual,Manual,Second Owner,Ford,Other
2003,60000.0,5000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2012,280000.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Other
2016,450000.0,50000.0,Diesel,Individual,Manual,Second Owner,Toyota,Other
2018,1150000.0,58000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2018,650000.0,15000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2015,300000.0,60000.0,Petrol,Individual,Manual,Second Owner,Tata,Other
2015,73000.0,57000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2015,400000.0,87000.0,Diesel,Individual,Manual,Third Owner,Maruti,Maruti Swift VDI
2017,300000.0,70000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2012,300000.0,30000.0,Petrol,Individual,Automatic,Second Owner,Maruti,Maruti Wagon R
2012,450000.0,80000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2009,200000.0,100000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Santro Xing
2019,580000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,550000.0,3917.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2007,190000.0,160000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2017,450000.0,35000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2014,220000.0,70000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2012,310000.0,69069.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2019,650000.0,13500.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2014,300000.0,59059.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Wagon R
2013,200000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2012,285000.0,39039.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2014,335000.0,33033.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2011,370000.0,55168.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2013,375000.0,41041.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2009,235000.0,67067.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2013,345000.0,66066.0,Petrol,Dealer,Automatic,First Owner,Hyundai,Other
2013,365000.0,82082.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2014,400000.0,48000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2015,250000.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2012,465000.0,70070.0,Diesel,Dealer,Automatic,First Owner,Hyundai,Other
2017,300000.0,10000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2018,655000.0,25000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2016,350000.0,30000.0,CNG,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2015,500000.0,50000.0,Petrol,Dealer,Automatic,First Owner,Hyundai,Other
2015,465000.0,63063.0,Petrol,Dealer,Automatic,First Owner,Hyundai,Hyundai Grand i10
2008,263000.0,70000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2012,250000.0,90000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
1999,60000.0,90000.0,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,Other
2005,70000.0,90000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2017,650000.0,140000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2014,370000.0,80000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Other
2016,509999.0,40000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
2011,280000.0,33000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2010,180000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,650000.0,6000.0,Petrol,Individual,Manual,First Owner,Ford,Other
2010,200000.0,78000.0,Diesel,Dealer,Manual,Second Owner,Hyundai,Other
2011,210000.0,72000.0,Diesel,Dealer,Manual,Third Owner,Hyundai,Other
2011,75000.0,9528.0,Petrol,Dealer,Manual,First Owner,Tata,Other
2011,450000.0,135200.0,Diesel,Dealer,Manual,First Owner,Toyota,Toyota Innova 2.5
2011,220000.0,58000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,Other
2013,325000.0,78000.0,Diesel,Dealer,Manual,Second Owner,Hyundai,Other
2018,450000.0,45000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2017,825000.0,35000.0,Diesel,Individual,Manual,First Owner,Ford,Ford EcoSport 1.5
2007,125000.0,76000.0,Petrol,Dealer,Manual,Third Owner,Hyundai,Other
2015,434999.0,100000.0,Diesel,Individual,Manual,Third Owner,Mahindra,Other
2011,484999.0,99000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2009,175000.0,80000.0,Diesel,Individual,Manual,Third Owner,Maruti,Other
2006,220000.0,120000.0,Petrol,Individual,Manual,Third Owner,Honda,Other
2020,1250000.0,1100.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2017,215000.0,34000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2014,625000.0,68000.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2018,615000.0,15000.0,Diesel,Individual,Manual,First Owner,Ford,Ford EcoSport 1.5
2012,130000.0,58000.0,Diesel,Dealer,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2013,175000.0,50300.0,Diesel,Individual,Manual,First Owner,Tata,Other
2011,150000.0,70000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2011,195000.0,60000.0,Diesel,Individual,Manual,Third Owner,Tata,Tata Indica Vista
2020,550000.0,90000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2018,1500000.0,40000.0,Diesel,Individual,Manual,First Owner,Others,Other
2010,400000.0,80000.0,Petrol,Individual,Manual,Second Owner,Skoda,Other
2019,1350000.0,15000.0,Diesel,Individual,Manual,First Owner,Nissan,Other
2015,217000.0,45000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2011,290000.0,130000.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift VDI
2018,700000.0,80000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2014,175000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2017,575000.0,80000.0,Diesel,Individual,Manual,First Owner,Volkswagen,Other
2016,380000.0,100000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2013,350000.0,151624.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2012,450000.0,160000.0,Diesel,Individual,Manual,First Owner,Renault,Other
2005,130000.0,110000.0,CNG,Individual,Manual,Second Owner,Hyundai,Other
2015,320000.0,74820.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
2014,550000.0,82000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2015,370000.0,50000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2010,114999.0,70000.0,Petrol,Individual,Manual,Second Owner,Chevrolet,Other
2020,1100000.0,1000.0,Petrol,Individual,Manual,First Owner,Ford,Other
2006,170000.0,170000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2008,80000.0,150000.0,Diesel,Individual,Manual,Third Owner,Tata,Other
2019,950000.0,17000.0,Diesel,Individual,Manual,First Owner,Ford,Ford EcoSport 1.5
2014,425000.0,150000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2015,500000.0,80000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2005,70000.0,170000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Santro Xing
2013,349000.0,120000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2012,330000.0,90000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2010,120000.0,90000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Santro Xing
2013,430000.0,100000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna 1.6
2014,390000.0,90000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
2012,225000.0,129000.0,Diesel,Individual,Manual,First Owner,Nissan,Other
2010,350000.0,186000.0,Diesel,Individual,Automatic,Second Owner,Mahindra,Other
2009,100000.0,66778.0,Diesel,Individual,Manual,First Owner,Tata,Other
2014,190000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai EON Era
2014,315000.0,110000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Other
2015,300000.0,60000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Grand i10
2016,280000.0,40000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2018,539000.0,10000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2017,420000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2001,85000.0,70000.0,Petrol,Individual,Manual,Third Owner,Maruti,Other
2004,142000.0,73000.0,Petrol,Individual,Manual,Fourth & Above Owner,Others,Other
2014,180000.0,76000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2014,400000.0,120000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,Other
2009,360000.0,170000.0,Diesel,Individual,Automatic,Third Owner,Mahindra,Other
2003,85000.0,110000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Santro Xing
2016,350000.0,63400.0,Petrol,Individual,Manual,First Owner,Honda,Other
2015,380000.0,25000.0,Petrol,Individual,Manual,First Owner,Datsun,Other
2009,140000.0,80000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2012,200000.0,90000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2011,150000.0,157000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Santro Xing
2007,300000.0,100000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2017,280000.0,50000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2011,200000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto K10
2009,110000.0,38500.0,Petrol,Individual,Manual,Second Owner,Chevrolet,Other
2008,140000.0,103921.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2018,1150000.0,14825.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2016,910000.0,43377.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2010,160000.0,102307.0,Diesel,Dealer,Manual,First Owner,Ford,Ford Figo Diesel
2004,105000.0,79000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2004,70000.0,90000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Wagon R
2012,160000.0,110000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2013,225000.0,80000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Other
2002,145000.0,100000.0,Petrol,Individual,Manual,First Owner,Honda,Other
2018,930000.0,20000.0,Diesel,Individual,Manual,First Owner,Ford,Ford EcoSport 1.5
2008,110000.0,154000.0,Diesel,Individual,Manual,Third Owner,Hyundai,Other
2017,650000.0,40000.0,Diesel,Individual,Manual,First Owner,Renault,Other
2019,550000.0,51000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2008,85000.0,120000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
2016,509999.0,35000.0,Petrol,Individual,Manual,First Owner,Toyota,Other
2017,650000.0,70000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2011,140000.0,60000.0,Petrol,Individual,Manual,Second Owner,Chevrolet,Other
2011,150000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
2018,450000.0,10000.0,Petrol,Individual,Manual,Second Owner,Datsun,Other
2006,170000.0,223158.4,Diesel,Individual,Manual,Fourth & Above Owner,Hyundai,Other
2017,400000.0,60000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2016,300000.0,30000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2012,250000.0,8000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2019,500000.0,10000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2002,85000.0,100000.0,Diesel,Individual,Manual,Third Owner,Hyundai,Other
2012,300000.0,110000.0,Diesel,Individual,Manual,First Owner,Nissan,Other
2015,740000.0,45000.0,Diesel,Dealer,Automatic,First Owner,Mahindra,Other
2005,70000.0,68500.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai Santro Xing
2019,484999.0,5007.0,Petrol,Dealer,Automatic,First Owner,Hyundai,Other
2013,164000.0,30000.0,Petrol,Individual,Manual,First Owner,Nissan,Other
2008,140000.0,70000.0,Petrol,Individual,Automatic,First Owner,Honda,Other
2011,999000.0,49600.0,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,Other
2005,56000.0,23000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2006,1050000.0,30000.0,Diesel,Dealer,Automatic,First Owner,BMW,Other
2010,190000.0,38000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai Verna 1.6
2018,2675000.0,22000.0,Diesel,Dealer,Automatic,First Owner,Audi,Other
2011,235000.0,43100.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2017,350000.0,10171.0,Petrol,Dealer,Manual,First Owner,Datsun,Other
2015,465000.0,41123.0,Diesel,Dealer,Manual,First Owner,Renault,Other
2017,1900000.0,20118.0,Petrol,Dealer,Automatic,First Owner,Toyota,Other
2014,450000.0,40000.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2015,790000.0,52517.0,Diesel,Dealer,Manual,First Owner,Volkswagen,Other
2019,900000.0,20000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2014,450000.0,99117.0,Diesel,Dealer,Manual,First Owner,Ford,Other
2009,135000.0,90000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2019,425000.0,3700.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2010,100000.0,80000.0,Diesel,Individual,Manual,First Owner,Tata,Tata Indica Vista
2015,650000.0,100000.0,Diesel,Individual,Manual,Second Owner,Ford,Ford EcoSport 1.5
2011,90000.0,54000.0,Diesel,Individual,Manual,First Owner,Tata,Tata Indica Vista
2017,250000.0,19000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai EON Era
2014,300000.0,120000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2014,275000.0,30000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2017,600000.0,43500.0,Petrol,Individual,Manual,First Owner,Honda,Other
2016,270000.0,60000.0,Petrol,Individual,Manual,Second Owner,Renault,Other
2016,240000.0,70000.0,Petrol,Individual,Manual,Second Owner,Renault,Other
2016,350000.0,20000.0,Petrol,Individual,Manual,First Owner,Renault,Other
1998,65000.0,60000.0,Petrol,Dealer,Manual,Third Owner,Maruti,Other
2015,650000.0,58000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2014,350000.0,40000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Wagon R
2005,75000.0,70000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2012,440000.0,70000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2013,270000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Santro Xing
2014,1150000.0,135000.0,Diesel,Dealer,Manual,First Owner,Toyota,Toyota Innova 2.5
2015,238000.0,70000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2013,1100000.0,40000.0,Petrol,Individual,Automatic,Second Owner,Mercedes-Benz,Other
2015,1200000.0,75000.0,Diesel,Dealer,Manual,Second Owner,Mahindra,Other
2010,260000.0,150000.0,Diesel,Individual,Manual,First Owner,Skoda,Other
2012,350000.0,140000.0,Diesel,Individual,Manual,Third Owner,Toyota,Other
2015,480000.0,70000.0,Diesel,Individual,Manual,First Owner,Toyota,Other
2012,345000.0,137250.0,Diesel,Individual,Manual,Second Owner,Toyota,Other
2013,500000.0,110000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2017,595000.0,27000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai Grand i10
2019,1295000.0,9000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2019,1350000.0,5400.0,Diesel,Dealer,Manual,Test Drive Car,Volkswagen,Other
2020,541000.0,1000.0,Petrol,Dealer,Manual,Test Drive Car,Renault,Other
2018,515000.0,16000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2019,894999.0,13000.0,Diesel,Dealer,Manual,Test Drive Car,Ford,Other
2012,325000.0,47000.0,Diesel,Dealer,Manual,First Owner,Renault,Other
2018,925000.0,22000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,844999.0,30000.0,Petrol,Individual,Manual,First Owner,Nissan,Other
2018,925000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2013,300000.0,60000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2008,650000.0,75000.0,Petrol,Individual,Manual,Second Owner,Toyota,Other
2010,175000.0,64000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto K10
2015,325000.0,80000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2017,600000.0,90000.0,Diesel,Individual,Manual,First Owner,Renault,Other
2018,700000.0,30000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2003,95000.0,120000.0,Petrol,Individual,Automatic,Second Owner,Toyota,Other
2019,490000.0,20000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2013,380000.0,100000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2018,550000.0,31000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai Grand i10
2013,225000.0,47000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto 800
2018,570000.0,11200.0,Petrol,Individual,Manual,First Owner,Tata,Other
2018,305000.0,35000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto 800
2010,240000.0,50000.0,LPG,Dealer,Manual,First Owner,Maruti,Maruti Wagon R
2015,700000.0,55000.0,Diesel,Dealer,Manual,First Owner,Maruti,Other
2018,288000.0,20000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2017,800000.0,75000.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2017,430000.0,93000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2009,195000.0,57000.0,Diesel,Dealer,Manual,Second Owner,Chevrolet,Chevrolet Beat Diesel
2014,325000.0,30000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2013,450000.0,73000.0,Diesel,Dealer,Manual,First Owner,Renault,Other
2016,630000.0,65000.0,Diesel,Dealer,Manual,First Owner,Maruti,Maruti Swift Dzire
2009,250000.0,62000.0,Petrol,Dealer,Manual,Second Owner,Maruti,Other
2007,135000.0,85000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2010,110000.0,73000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2012,350000.0,55000.0,Diesel,Dealer,Manual,First Owner,Maruti,Other
2016,240000.0,5800.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
